epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3309.93,1.49834,3.65725,1.05767,0.3601,0.14889,0.17779,0.12431,1.29111,2.6669,1.02921,0.000191894,0.000191894,0.000191894
43,3402.37,1.48809,6.53427,1.02981,0.5254,0.08774,0.17752,0.12341,1.2964,2.56859,1.03013,0.000188697,0.000188697,0.000188697
44,3499.31,1.58595,4.16384,1.09092,0.48173,0.08182,0.17656,0.12094,1.30845,2.50015,1.03768,0.000185499,0.000185499,0.000185499
45,3598.03,1.32019,7.78226,0.97915,0.42623,0.08312,0.17688,0.12114,1.30794,2.50139,1.03788,0.000182301,0.000182301,0.000182301
46,3675.95,1.52551,4.29884,1.13561,0.35085,0.11038,0.18306,0.12677,1.31495,2.55321,1.03408,0.000179103,0.000179103,0.000179103
47,3733.78,1.48009,6.46736,1.02403,0.28189,0.11989,0.17019,0.11634,1.31195,2.63827,1.03504,0.000175906,0.000175906,0.000175906
48,3790.98,1.33668,6.53381,1.03174,0.21501,0.19047,0.17129,0.11643,1.28373,2.66433,1.02195,0.000172708,0.000172708,0.000172708
49,3847.84,1.44746,3.60932,1.06132,0.05573,0.29493,0.17511,0.11681,1.26854,2.64117,1.0112,0.00016951,0.00016951,0.00016951
50,3903.67,1.44133,6.52091,1.00116,0.15778,0.22985,0.18495,0.12476,1.2865,2.59645,1.00905,0.000166313,0.000166313,0.000166313
51,3960.58,1.40413,6.18053,0.98851,0.05311,0.28102,0.18442,0.12591,1.27923,2.63116,1.00648,0.000163115,0.000163115,0.000163115
52,4015.84,1.34513,4.86816,1.02718,0.33267,0.16596,0.18026,0.12499,1.27689,2.56067,1.00347,0.000159917,0.000159917,0.000159917
53,4071.83,1.54053,7.14422,1.06755,0.1756,0.21487,0.18275,0.1252,1.27356,2.57302,1.00368,0.00015672,0.00015672,0.00015672
54,4128.91,1.62801,5.64816,1.1048,0.3507,0.15075,0.18206,0.12514,1.25942,2.52891,1.00477,0.000153522,0.000153522,0.000153522
55,4186.72,1.44484,4.79252,1.02236,0.35769,0.15072,0.18204,0.12496,1.26435,2.50607,1.00776,0.000150324,0.000150324,0.000150324
56,4247.64,1.45062,6.98042,1.02298,0.18284,0.21601,0.19469,0.13609,1.2568,2.55791,1.00705,0.000147126,0.000147126,0.000147126
57,4306.66,1.61441,5.63806,1.06963,0.07828,0.34478,0.22025,0.15342,1.26565,2.59609,1.01613,0.000143929,0.000143929,0.000143929
58,4364.36,1.38075,4.27122,0.99192,0.25494,0.20206,0.19888,0.14289,1.26193,2.47121,1.01486,0.000140731,0.000140731,0.000140731
59,4422.42,1.43551,7.23109,0.98837,0.1913,0.23686,0.21193,0.14078,1.25761,2.43474,1.01421,0.000137533,0.000137533,0.000137533
60,4478.53,1.45769,3.62769,1.0797,0.10308,0.40123,0.25437,0.165,1.24489,2.3759,1.00769,0.000134336,0.000134336,0.000134336
61,4536.24,1.61509,3.98365,1.1262,0.10287,0.39893,0.24779,0.16116,1.23658,2.25659,1.00358,0.000131138,0.000131138,0.000131138
62,4593.64,1.51512,3.46445,1.05837,0.10032,0.38649,0.24651,0.1618,1.24332,2.20389,1.00253,0.00012794,0.00012794,0.00012794
63,4651.35,1.46525,3.66245,1.07385,0.09831,0.38649,0.23202,0.15997,1.26196,2.18554,1.00627,0.000124743,0.000124743,0.000124743
64,4710.69,1.35593,10.0469,0.97014,0.2598,0.19496,0.23295,0.15944,1.26249,2.15904,1.00771,0.000121545,0.000121545,0.000121545
65,4769.48,1.47992,3.62878,1.08772,0.20648,0.24127,0.24197,0.16625,1.24791,2.19853,1.00077,0.000118347,0.000118347,0.000118347
66,4830.01,1.51622,3.25851,1.0691,0.31454,0.19084,0.22157,0.15623,1.25429,2.22921,1.00047,0.000115149,0.000115149,0.000115149
67,4885.38,1.43263,4.89915,1.01871,0.41389,0.13581,0.22606,0.15693,1.26041,2.1713,1.00127,0.000111952,0.000111952,0.000111952
68,4943.38,1.51084,3.33871,1.04372,0.28216,0.19753,0.25123,0.16977,1.25507,2.10965,0.99971,0.000108754,0.000108754,0.000108754
69,4998.63,1.48542,3.68708,1.04633,0.41455,0.15616,0.2568,0.16985,1.25615,1.98205,1.00028,0.000105556,0.000105556,0.000105556
